Lotus6thfloor615,Haveli,Crack_Nozzle,MGMNT,virus,Chandrapg3,Lotus pg 5th Floor,DHAR,Lotus5thfloor501,lotus 4th floor 411,NikhilSai3floor,D-Link_DIR-615,Lotus4thfloor1,happylokayogaclasses,207_3,Princess Leia,Lotus6thfloor611,Lotus3rdfloor301,Lotus pg 5th floor 511,susheelaa,lotus 4th floor 401,JioFi2_A083B4,Dekhle_Hobe_khorcha_Aache!,MI MAX 2,aaranshu2016,NikhilSai4thFloor,Chandra Row3,Lotus1stfloorg11,varsha,Debasree,Get Lost .. Its not yours,Meet_your_Makers,Lotus602,207_2,Lenovo A7000-a,Nikhilsai 2nd floor extn,chandrapg1,Home-Airtel-2_5G,Lotus3rdfloor315,chandrapg4,The creep next door,Home-Airtel-2,0LA AUTOCONNECT 1904Z,sanchit,EverGreen,manepalli,207_1_Guest,SusheelaaPG4network,Home-Airtel,Amaravathi pg4,Lotus 2nd floor 1,Airtel-E5573-03A4,nikhilsai 4th floor extn,Act-shivam,Amaravathi pg3,Bing7777777,STRIKERS,Deepak,Chandra123,0LA_DRIVER_HOTSPOT_9538268467,SalehMohamed,Trident Jio,207_1
-93,,,,,,,-90,,,,,,-93,-79,,,,,,,,,,,,-86,,,,,-89,,-74,,,,-86,,-89,,-87,,,,-80,-58,,-83,,,,,,,,,,,,-82,,-58
,,,,-93,,,,,,,,,,-82,,,,,,,,,,,,-86,,,,,-93,,-72,,,,-86,,,,-88,,,,-80,-58,,-83,,,,,,,,,,,,-82,,-59
,,,,-93,,,-92,,,,,,,-78,,,,,,,,,,,,-85,,,,,-92,,-72,,,,-86,,-92,,-88,,,,-84,-58,,-84,,,,,,,,,,,,-84,,-59
,,,,,,,-92,,,,,,-90,-77,,,,,,,,,,-88,,-85,,,,,-92,,-73,,,,-87,,-92,,-85,,,-82,-83,-58,,-83,,,,,,,,,,,,-84,,-59
,,,,,,,-90,,,,,,-90,-80,,,,,,,,,,-86,,-87,,,,,-90,,-73,,,,-85,,,,-88,,,-82,-83,-58,,-83,,,,,,,,,,,,-82,,-59
,,,,,,,-90,,,,,,-94,-77,,,,,,,,,,-88,,-87,,,,,-94,,-73,,,,-85,,,,-85,,,-82,-84,-57,,-83,,,,,,,,,,,,-83,,-58
,,,,,,,-90,,,,,,-94,-77,,,,,,,,,,-88,,,,,,,-92,,-73,,,,-85,,-90,,-84,,,-82,-84,-58,,-84,,,,,,,,,,,,-83,,-58
,,,,,,,-90,,,,,,-93,-79,,,,,,,,,,,,-86,,,,,-92,,-73,,,,-86,,-90,,-85,,,-82,-83,-58,,-83,,,,,,,,,,,,-83,,-58
,,,,,,,-92,,,,,,-93,-76,,,,,,,,,,-89,,-86,,,,,-92,,-72,,,,-87,,-90,,-85,,,,-81,-59,,-83,,,,,,,,,,,,-85,,-58
,,,,,,,-90,,,,,,,-81,,,,,,,,,,-89,,-86,,,,,-92,,-72,,,,-86,,-90,,-89,,,,-81,-59,,-83,,,,,,,,,,,,-85,,-58
,,,,,,,-90,,,,-87,,-93,-77,,,,,,,,,,-88,,-86,,,,,-93,,-72,,,,-86,,-90,,-89,,,,-81,-59,,-83,,,,,,,,,,,,-84,,-58
,,,,,,-90,-90,,,,-87,,-93,-76,,,,,,,,,,-88,,-86,,,,,-93,,-72,,,,-86,,-90,,-90,,,,-81,-59,,-84,,,,,,,,,,,,-83,,-58
,,,,,,-90,-92,,,,,,,-74,,,,,,,,,,,,-86,,,,,-90,,-72,,,,-86,,-90,,-83,,,,-81,-59,,-82,,,,,,,,,,,,-83,,-58
,,,,-94,,,-91,,,,,,,-74,,,,,,,,,,,,-86,,,,,-90,,-72,,,,-89,,-89,,-85,,,,-83,-59,,-81,,,,,,,,,,,,-84,,-58
,,,,-94,,,-91,,,,,,-92,-76,,,,,,,,,,,,-86,,,,,,,-72,,,,-87,,-92,,-86,,,,-84,-59,,-83,,,,,,,,,,,,-83,,-59
-94,,,,,,,-92,,,,,,-92,-76,,,,,,,,,,-87,,-87,,,,,,,-73,,,,-86,,-92,,-86,,,,-82,-59,,-80,,,,,,,,,,,,-81,,-59
-94,,,,,,,-93,,,,,,-91,-75,,,,,,,,,,-87,,-87,,,,,,,-73,,,,-87,,-91,,-86,,,,-82,-55,,-82,,,,,,,,,,,,-81,,-56
,,,,,,,-93,,,,-83,,-91,-73,,,,,,,,,,,,-85,,,,,-91,,-76,,,,-87,,-89,,-87,,,,-82,-57,,-82,,,,,,,,,,,,-87,,-56
,,,,,,,-91,,,,-83,,,-81,,,,,,,,,,,,-85,,,,,-91,,-73,,,,-84,,-89,,-85,,,,-81,-55,,-81,,,,,,,,,,,,-83,,-56
,,,,,,-91,-90,,,,,,,-80,,,,,,,,,,,,-84,,,,,-91,,-71,,,,-85,,-91,,-87,,,,-81,-55,,-81,,,,,,,,,,,,-81,,-56
,,,,,,-91,-84,,,,,,,-80,,,,,,,,,,,,-84,,,-88,,,,-71,,,,-88,,-89,,-76,,,,-76,-49,,-82,,,,,,,,,,,,-69,,-48
,,,,,,,-84,,,,,,,-84,,,,,,,,,,,,,,,-88,,,,-71,,,,-89,,-89,,-85,,,,-74,-66,,-82,,,,,,,,,,,,-69,,-60
,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,-88,,,,-85,,,,-70,-74,,,,,,,,,,,,,,,,-73
,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,-88,,,,-83,,,,-70,-76,,,,,,,,,,,,,,,,-75
,,,,,,,,,,,,,,-82,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-83,,,-87,-70,-75,,,,,,,,,,,,,,,,-75
,,,,,,,-93,,,,,,,-82,,,,,,,,,,-88,,,,,,,,,,,,,-88,,,,-83,,,-87,-70,-74,,,,,,,,,,,,,,,,-73
,,,,,,,-92,,,,,,,-84,,,,,,,,,,-88,,,,,,,,,,,,,-90,,,,-83,,,,-70,-74,,,,,,,,,,,,,,-87,,-73
,,,,,,,-92,,,,,,,-84,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-84,,,,-70,-74,,,,,,,,,,,,,,-87,,-74
,,,,,,,-92,,,,,,,-84,,,,,,,,,,-88,,,,,,,,,,,,,-88,,,,-84,,,,-71,-74,,,,,,,,,,,,,,-87,,-74
,,,,,,,-92,,,,,,,-83,,,,,,,,,,-88,,,,,,,,,,,,,-89,,,,-84,,,,-70,-78,,,,,,,,,,,,,,-87,,-77
,,,,,,,-94,,,,,,,-87,,,,,,,,,,-90,,,,,,,,,,,,,-89,,,,-85,,,,-71,-78,,,,,,,,,,,,,,,,-77
,,,,,,,-94,,,,,,,-87,,,,,,,,,,-90,,,,,,,,,,,,,-88,,,,-85,,,,-70,-80,,,,,,,,,,,,,,-88,,-75
,,,,,,,-92,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,-88,,,,-85,,,,-70,-77,,,,,,,,,,,,,,-88,,-75
,,,,,,,-91,,,,-90,,,-84,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-85,,,,-71,-74,,,,,,,,,,,,,,,,-75
,,,,,,,-94,,,,-90,,,-83,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-85,,,,-72,-75,,,,,,,,,,,,,,,,-75
,,,,,,,-94,,,,,,,-83,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-85,,,,-72,-73,,,,,,,,,,,,,,,,-73
,,,,,,,-93,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-85,,,-89,-70,-74,,,,,,,,,,,,,,,,-74
,,,,,,,-93,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-85,,,-88,-71,-74,,,,,,,,,,,,,,,,-74
,,,,,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,-88,,,,-85,,,-88,-70,-75,,,,,,,,,,,,,,,,-76
,,,,,,,-93,,,,,,,,,,,,,,,,,-90,,,,,,,,,-85,,,,-89,,,,-84,,,,-76,-75,,,,,,,,,,,,,,,,-75
,,,,,,,-91,,,,,,,-88,,,,,,,,,,,,,,,,,,,-85,,,,-87,,,,-84,,,,-72,-77,,,,,,,,,,,,,,,,-76
,,,,,,,-91,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,-90,,,,-84,,,,-71,-76,,,,,,,,,,,,,,,,-76
,,,,,,,-92,,,,,,,,,,,,,,,,,-91,,,,,,,,,-86,,,,-88,,,,-84,,,,-71,-76,,,,,,,,,,,,,,,,-77
,,,,,,,-96,,,,,,,,,,,,,,,,,-91,,,,,,,,,-86,,,,-88,,,,-84,,,,-70,-76,,,,,,,,,,,,,,,,-77
,,,,,,,-93,,,,,,,,,,,,,,,,,-92,,,,,,,,,,,,,-88,,,,-84,,,,-71,-76,,,,,,,,,,,,,,,,-76
,,,,,,,-93,,,,,,,-89,,,,,,,,,,-92,,,,,,,,,,,,,-88,,,,-86,,,,-71,-76,,,,,,,,,,,,,,,,-74
,,,,,,,-93,,,,,,,-85,,,,,,,,,,-89,,,,,,,,,,,,,-87,,,,-85,,,,-70,-76,,,,,,,,,,,,,,,,-75
,,,,,,,-94,,,,,,,-85,,,,,,,,,,-89,,,,,,,,,,,,,-87,,,,-85,,,,-70,-76,,,,,,,,,,,,,,,,-75
,,,,,,,-92,,,,,,,-85,,,,,,,,,,-89,,,,,,,,,-86,,,,-89,,,,-86,,,,-70,-78,,,,,,,,,,,,,,,,-76
,,,,,,,-92,,,,,,,-84,,,,,,,,,,-90,,,,,,,,,-86,,,,-87,,,,-85,,,,-69,-78,,,,,,,,,,,,,,,,-78
,,,,,,,-92,,,,,,,-84,,,,,,,,,,-90,,,,,,,,,,,,,-87,,,,-84,,,,-70,-76,,,,,,,,,,,,,,,,-75
,,,,,,,-94,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,-87,,,,-84,,,,-72,-76,,-89,,,,,,,,,,,,-87,,-76
,,,,,,,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,-84,,,,-71,-78,,-89,,,,,,,,,,,,-87,,-77
,,,,,,,-92,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,-88,,,,-84,,,-88,-71,-76,,,,,,,,,,,,,,,,-77
,,,,,,,-97,,,,,,,,,,,,,,,,,-89,,,,,,,,,-89,,,,-88,,,,-84,,,-88,-70,-76,,,,,,,,,,,,,,,,-77
,,,,,,,-97,,,,,,,-84,,,,,,,,,,-88,,,,,,,,,-89,,,,-88,,,,-84,,,,-70,-76,,,,,,,,,,,,,,,,-76
,,,,,,,,,,,,,,-92,,,,,,,,,,-88,,,,,,,,,-89,,,,-88,,,,-84,,,,-71,-79,,,,,,,,,,,,,,,,-78
,,,,,,,-94,,,,,,,-92,,,,,,,,,,-90,,,,,,,,,-89,,,,-85,,,,-85,,,,-70,-78,,,,,,,,,,,,,,,,-78
,,,,,,,-94,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,-86,,,,-87,,,,-71,-82,,,,,,,,,,,,,,,,-81
,,,,,,,-94,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,-87,,,,-86,,,,-70,-81,,,,,,,,,,,,,,,,-81
,,,,,,,-93,,,,,,,-84,,,,,,,,,,-90,,,,,,,,,,,,,-87,,,,-86,,,-88,-70,-81,,,,,,,,,,,,,,,,-81
,,,,,,,-93,,,,-77,,,-84,,,,,,,,,,-90,,,,,,,,,,,,,-85,,,,-73,,,-88,-72,-62,,,,,,,,,,,,,,,,-61
,,,,-77,,,,,,,-77,,,-80,,,,,,,,,,,,,,,,,,,-85,,,,-85,,-90,,-78,,,,-80,-68,,-79,,,,,,,,,,,,-72,,-68
,,,,-81,,,-91,,,,-84,,,-82,,,,,,,,,,-87,,,,,,,,,-85,,,,-88,,-90,,-80,,,,-80,-69,,-79,,,,,,,,,,,,-72,,-68
,,,,-83,,,-90,,,,-84,,,-78,,,,,,,,,,-87,,,,,,,,,-81,,,,-89,,,,-80,,,,-80,-69,,-82,,,,,,,,,,,,-75,,-69
,,,,-79,,,-90,,,,,,,-78,,,,,,,,,,-87,,,,,,,,,-81,,,,-88,,,,-81,,,,-80,-69,,-82,,,,,,,,,,,,-75,,-69
,,-83,,-82,,,-90,,,,-85,,,-82,,,,,,,-94,,,-90,,-86,,,,,,,-84,,,,-88,,,,-78,,,,-81,-69,,,,,,,,,,,,,,,,-69
,,-83,,-77,,,-91,,,,-85,,,-82,,,,,,,-94,,,-90,,-86,,,,,,,-82,,,,-89,,,,-76,,,,-81,-69,,-83,,,,,,,,,,,,-75,,-69
,,,,-77,,,-91,,,,,,,,,,,,,,,,,,,-87,,,,,,,-82,,,,-89,,,,-76,,,,-82,-69,,-82,,,,,,,,,,,,-74,,-69
,,-80,,-77,,,,,,,,,,-84,,,,,,,,,,-87,,-87,,,,,,,-82,,,,-88,,,,-76,,,,-82,-69,,-82,,,,,,,,,,,,-74,,-68
,,-80,,-82,,,-92,,,,,,,-83,,,,,,,,,,-87,,,,,,,,,-81,,,,-89,,,,-79,,,,-82,-69,,-83,,,,,,,,,,,,-73,,-68
,,,,-81,,,-92,,,,,,,-81,,,,,,,,,,,,,,,,,,,-81,,,,-89,,,,-79,,,,-83,-69,,-82,,,,,,,,,,,,-73,,-69
,,-81,,-81,,,-92,,,,,,,-77,,,,,,,,,,-88,,,,,,,,,-81,,,,-90,,,,-79,,,-84,-81,-69,,-82,,,,,,,,,,,,-74,,-69
,,-81,,-77,,,,,,,,,,-77,,,,,,,,,,-88,,-86,,,,,,,-81,,,,-90,,,,-77,,,-84,-82,-70,,-82,,,,,,,,,,,,-74,,-69
,,,,-81,,,,,,,-87,,,-77,,,,,,,,,,,,-86,,,,,,,-80,,,,-88,,,,-80,,,,-82,-69,,,,,,,,,,,,,,-73,,-69
,,,,-83,,,-92,,,,-87,,,-82,,,,,,,,,,,,-86,,,,,,,-80,,,,-88,,,,-78,,,,-82,-69,,,,,,,,,,,,,,-73,,-69
,,-80,,-83,,,-92,,,,,,,-77,,,,,,,,,,-89,,-86,,,,,,,-81,,,,-89,,,,-80,,,,-81,-69,,,,,,,,,,,,,,-73,,-70
,,-80,,-78,,,-92,,,,,,,-77,,,,,,,,,,-86,,,,,,,,,-81,,,,-90,,,,-81,,,,-83,-69,,-85,,,,,,,,,,,,-73,,-70
,,,,-76,,,-92,,,,,,-92,-77,,,,,,,,,,-86,,,,,,,,,-81,,,,-89,,,,-77,,,,-83,-69,,-85,,,,,,,,,,,,-73,,-68
,,,,-80,,,,,,,,,-92,-78,,,,,,,,,,,,-86,,,,,,,,,,,-89,,,,-76,,-90,,-83,-69,,,,,,,,,,,,,,,,-68
,,,,-77,,,,,,,,,,-78,,,,,,,,,,,,-86,,,,,,,-82,,,,-89,,,,-80,,-90,,-83,-69,,,,,,,,,,,,,,-72,,-68
,,,,-81,,,,,,,,,,-78,,,,,,,,,,,,-88,,,,,,,-82,,,,-88,,,,-80,,,,-81,-69,,,,,,,,,,,,,,-72,,-68
,,,,-81,,,,,,,,,,-78,,,,,,,,,,-86,,-88,,,,,,,-80,,,,-88,,,,-78,,,-78,-81,-69,,,,,,,,,,,,,,-77,,-68
,,,,-78,,,-91,,,,,,,-78,,,,,,,,,,-86,,-87,,,,,,,-82,,,,-89,,,,-78,,,-78,-83,-69,,,,,,,,,,,,,,-77,,-68
,,,,-76,,,-91,,,,,,,-83,,,,,,,,,,-86,,-85,,,,,,,-82,,,,-91,,,,-78,,,-78,-83,-69,,-82,,,,,,,,,,,,-74,,-70
,,,,-80,,,-91,,,,,,,-79,,,,,,,,,,-88,,-85,,,,,,,-80,,,,-88,,,,-78,,,,-81,-70,,-83,,,,,,,,,,,,-73,,-69
,,,,-76,,,-91,,,,,,,-77,,,,,,,,,,-87,,,,,,,,,-80,,,,-89,,,,-78,,,,-81,-69,,-83,,,,,,,,,,,,-73,,-69
,,,,-75,,,,,,,,,,-77,,,,,,,,,,-87,,,,,,,,,-80,,,,-89,,,,-80,,,,-81,-69,,,,,,,,,,,,,,-73,,-69
,,,,-75,,,,,,,,,,-77,,,,,,,,,,-88,,,,,,,,,-81,,,,-89,,,,-79,,,,-81,-69,,,,,,,,,,,,,,-74,,-69
,,,,-80,,,-89,,,,,,,-77,,,,,,,,,,-88,,,,,,,,,-81,,,,-89,,,,-78,,,-78,-81,-70,,,,,,,,,,,,,,-73,,-69
,,,,-76,,,-89,,,,,,,-77,,,,,,,,,,,,-87,,,,,,,-81,,,,-89,,,,-80,,-90,-77,-81,-70,,,,,,,,,,,,,,-73,,-69
,,,,-80,,,,,,,,,,-77,,,,,,,,,,,,-87,,,,,,,-80,,,,-88,,,,-80,,-90,-77,-81,-69,,-83,,,,,,,,,,,,-72,,-69
,,,,-77,,,-90,,,-91,,,,,,,,,,,,,,-87,,,,,,,,,-81,,,,-90,,,,-79,,,-82,-81,-69,,-83,,,,,,,,,,,,-72,,-69
,,,,-76,,,-90,,,-91,,,,-77,,,,,,,,,,-87,,,,,,,,,-76,,,,-90,,,,-78,,,-82,-81,-69,,-83,,,,,,,,,,,,-72,,-69
,,-81,,-80,,,,,,,,,,-77,,,,,,,,,,-87,,,,,,,,,-82,,,,-85,,,,-80,,,,-80,-67,,-82,,,,,,,,,,,,-72,,-67
,,-81,,-86,,,-86,,,,,,,-78,,,,,,,,,,-86,,,,,,,,,-79,,,,-85,,,,-76,,,-80,-73,-74,,-79,,,,,,,,,,,,-72,,-74
,,-84,,-86,,,-87,,,,-80,,,-84,,,,,,,,,,-80,,,,,,,,,-85,,,,,,,,-75,,,-80,-77,-75,,-79,,,,-91,,,,,,,,,,-74
,,-84,,-85,,-88,-84,,,,-80,,,-84,,,,,,,,,,-80,,-86,,,,,,,-85,,,,,,,,-75,,,,-77,-73,,-81,,,,-91,,,,,,,,,,-73
,,-84,,-85,,-88,-88,,,,-81,,,,,,,,-95,,,,,,,-86,,,,,,,-85,,,,,,,,-72,,,,-81,-68,,-79,,,,,,,,,,,,,,-67
,,,,-86,,,-85,,,,-81,,,-86,,,,,-95,,,,,-79,,,,,,,,,-88,,,,,,,,-72,,,,-79,-72,,-79,,,,,,,,,,,,,,-73
,,,,-86,,,-84,,,,-80,,,-86,,,,,-96,,,,,-79,-89,,,,,,,,-88,,,,,,,,-73,,,,-80,-73,,-80,,,,,,,,,,,,,,-72
,,,,-88,,,-84,,,,-82,,,-86,,,,,-96,,,-93,,-77,-89,,,,,,,,,,,,,,,,-73,,,-82,-80,-73,,-80,,,,,,,,,,,,,,-74
,,,,-86,,,-85,,,,-82,,,-86,,,,,,,,-93,,-77,,,,,,,,,,,,,,,,,-72,,,-82,-76,-76,,-82,,,,,,,,,,,,,,-76
,,,,-86,,,-85,,,,-81,,,-86,,,,,,,,,,-78,,,,,,,,,-89,,,,,,,,-73,,,,-78,-74,,-81,,,,,,,,,,,,,,-74
,,,,-86,,,-85,,,,-80,,,-85,,,,,,,,,,-79,,,,,,,,,-88,,,,,,,,-71,,,,-78,-74,,-81,,,,,,,,,,,,,,-74
,,,,-87,,,-85,,,,-80,,,-85,,,,,,,,,,-79,,-85,,,,,,,-88,,,,,,,,-72,,,,-78,-71,,-81,,,,-89,,,,,,,,,,-71
,,,,-87,,,-85,,,,-80,,,-83,,,,-89,,,,,,-78,-90,-85,,,,,,,-88,,,,,,,,-72,,,-85,-78,-75,,-80,,,,-89,,,,,,,,,,-75
,,,,-86,,,-85,,,,-80,,,-82,,,,-89,,,,,,-78,-89,,,,,,,,-88,,,,,,,,-72,,,-85,-78,-74,,-81,,,,-89,,,,,,,,,,-73
,,,,-86,,,-84,,,,-80,,,-83,,,,,,,,,,-78,-88,,,,,,,,-84,,,,,,,,-72,,,,-79,-74,,-81,,,,,,,,,,,,,,-73
,,,,-86,,,-82,,,,-81,,,-83,,,,,,,,,,-77,-88,-86,,,,,,,-82,,,,,,,,-72,,,,-78,-74,,-81,,,,-91,,,-87,,,,,-85,,-73
,,,,-85,,,-86,,,,-81,,,-83,,,,,,,,,,-77,-90,-86,,,,,,,-83,,,,,,,,-72,,,-85,-78,-72,,-81,,,,-88,,,-87,,,,,-85,,-72
,,,,-86,,,-86,,,,-83,,,,,,,,,,,,,-77,-90,-82,,,,,,,-83,,,,,,,,-72,,,-85,-78,-75,,-79,,,,-88,,,,,,,,-84,,-75
,,,,-85,,,-88,,,,-85,,,,,,,,,,,,,-78,,-82,,,,,,,-85,,,,,,,,-76,,,-91,-81,-71,,-79,,,,,,,,,,,,-84,,-71
,,,,-86,,,-89,,,,-85,,,-79,,,,,,,,,,-78,,,,,,,,,-85,,,,,,,,-72,,,-91,-77,-70,,-78,,,,,,,,,,,,-82,,-70
,,,,-90,,,-90,,,,,,,-79,,,,,,,,,,,,-86,,,,,,,-83,,,,,,,,-80,,,,-83,-62,,-82,,,,,,,,,,,,-82,,-64
,,,,-90,,,-90,,,,,,,-85,,,,,,,,,,,,-86,,,,,,,-83,,,,,,,,-80,,,,-86,-66,,-84,,,,,,,,,,,,,,-65
,,,,,,,,,,,,,,-85,,,,,,,,,,-87,,,,,,,,,-81,,,,,,,,-80,,,,-86,-67,,-84,,,,,,,,,,,,-80,,-66
,,,,,,,,,,,-86,,,-85,,,,,,,,,,-88,,,,,,,,,-81,,,,,,,,-79,,,,,-66,,-83,,,,,,,,,,,,-80,,-67
,,,,,,,,,,,-86,,,-86,,,,,,,,,,-88,,,,,,,,,-81,,,,,,,,-79,,,,,-69,,-83,,,,,,,,,,,,-80,,-69
,,,,,,,,,,,-85,,,-86,,,,,,,,,,-91,,,,,,,,,-81,,,,,,,,-79,,,,,-67,,-83,,,,,,,,,,,,-80,,-67
,,,,,,,,,,,-85,,,-86,,,,,,,,,,-91,,,,,,,,,-82,,,,,,,,-79,,,,,-66,,-83,,,,,,,,,,,,-80,,-66
,,,,,,,,,,,-85,,,-77,,,,,,,,,,,,,,,,,,,-82,,,,,,,,-81,,,,,-69,,-83,,,,,,,,,,,,-82,,-68
,,,,,,,,,,,,,,-77,,,,,,,,,,-91,,,,,,,,,-85,,,,,,,,-81,,,,,-69,,-83,,,,,,,,,,,,-82,,-68
,,,,,,,,,,,,,,-87,,,,,,,,,,-87,,,,,,,,,-84,,,,,,,,-81,,,-90,,-67,,-83,,,,,,,,,,,,-82,,-67
,,,,,,,,,,,,,,-86,,,,,,,,,,-88,,,,,,,,,-83,,,,,,,,-80,,,-90,,-67,,-83,,,,-92,,,,,,,,-81,,-68
,,,,,,,,,,,,,,-85,,,,,,,,,,-89,,,,,,,,,-82,,,,,,,,-79,,,,,-67,,-82,,,,-92,,,,,,,,-81,,-68
,,,,,,,,,,,,,,-87,,,,,,,,,,-89,,,,,,,,,-82,,,,,,,,-79,,,,,-68,,-81,,,,,,,,,,,,-82,,-68
,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,-82,,,,,,,,-79,,,,,-67,,-81,,,,,,,,,,,,-82,,-68
,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,-84,,,,,,,,-79,,,,,-68,,-81,,,,,,,,,,,,-82,,-66
,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,,,,,,-83,,,,,,,,-79,,,,,-68,,-83,,,,,,,,,,,,-82,,-66
,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,-82,,,,,,,,-79,,,,,-67,,-83,,,,,,,,,,,,-82,,-67
,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,-82,,,,,,,,-79,,,,,-67,,-83,,,,,,,,,,,,-81,,-67
,,,,,,,,,,,,,,-87,,,,,,,,,,-88,,,,,,,,,-82,,,,,,,,-79,,,,,-68,,-83,,,,,,,,,,,,-81,,-67
,,,,,,,,,,,,,,-87,,,,,,,,,,-89,,,,,,,,,-80,,,,,,,,-79,,,,,-67,,-83,,,,,,,,,,,,-81,,-67
,,-89,,,,,,,,,,,,-85,,,,,,,,,,-89,,,,,,,,,-82,,,,,,,,-79,,,,,-67,,-83,,,,,,,,,,,,-81,,-67
,,-89,,,,,,,,,-85,,,-85,,,,,,,,,,-88,,-90,,,,,,,-82,,,,,,,,-79,,,,,-67,,-83,,,,,,,,,,,,-81,,-67
,,,,,,,,,,,-85,,,-85,,,,,,,,,,-89,,-90,,,,,,,-82,,,,,,,,-80,,,,,-67,,-83,,,,,,,,,,,,-81,,-67
,,,,,,,,,,,,,,-85,,,,,,,,,,-89,,-91,,,,,,,-84,,,,,,,,-79,,,,,-67,,-83,,,,-93,,,,,,,,-82,,-67
,,,,,,,,,,,-86,,,-87,,,,,,,,,,-89,,-91,,,,,,,-84,,,,,,,,-79,,,,,-66,,-83,,,,-93,,,,,,,,-82,,-66
,,,,,,,,,,,-86,,,-87,,,,,,,,,,,,-88,,,,,,,-84,,,,,,,,-79,,,,,-67,,-83,,,,,,,,,,,,-83,,-67
,,,,,,,,,,,,,,-86,,,,,,,,,,-91,,-88,,,,,,,-82,,,,,,,,-80,,,,,-67,,-82,,,,,,,,,,,,-82,,-67
,,,,,,-95,,,,,,,,-86,,,,,,,,,,-91,,,,,,,,,-83,,,,,,,,-80,,,,,-67,,-83,,,,,,,,,,,,-81,,-68
,,,,,,-95,,,,,,,,-87,,,,,,,,,,,,,,,,,,,-83,,,,,,,,-80,,,,,-67,,-83,,,,,,,,,,,,-81,,-68
,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,-83,,,,,,,,-80,,,,,-67,,-83,,,,,,,,,,,,-82,,-68
,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,-83,,,,,,,,-80,,,,,-67,,-83,,,,,,,,,,,,-80,,-66
,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,-83,,,,,,,,-80,,,,,-67,,-82,,,,,,,,,,,,-80,,-66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,-78,,,,,-68,,-83,,,,,,,,,,,,-80,,-69
,,,,,,,,,,,,,,-85,,,,,,,,,,-94,,,,,,,,,-85,,,,,,,,-82,,,,-86,-70,,-83,,,,,,,,,,,,-79,,-70
,,,,,,,,,,,,-94,,-82,,,,,,,,,,-91,,,,,,,,,-81,,,,,,,,-87,,,-86,-86,-70,,-88,,,,,,,,,,,,-85,,-70
,,,,,,,,,,,,-93,,-82,,,,,,,,,,-93,,,,,,,,,-85,,,,,,,,-88,,,-90,-82,-75,,-88,,,,,,,,,,,,-85,,-74
,,,,,,,,,,,,-93,,-80,,,,,,,,,,-93,,,,,,,,,-85,,,,,,,,-88,,,-90,-82,-74,,,,,,,,,,,,,,,,-73
,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,,,,-86,,,,,,,,-88,,,-92,-82,-72,,,,,,,,,,,,,,,,-71
,,,,,,,,,,,,,,-80,,,,,,,,,,-91,,,,,,,,,-86,,,,,,,,-89,,,-92,-82,-72,,,,,,,,,,,,,,,,-72
,,,,,,,,,,,,-97,,-80,,,,,,,,,,-91,,,,,,,,,-86,,,,,,,,-88,,,,-83,-72,,,,,,,,,,,,,,,,-72
,,,,,,,,,,,,-97,,-81,,,,,,,,,,,,,,,,,,,-86,,,,,,,,-88,,,,-83,-72,,,,,,,,,,,,,,,,-73
,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,,,,-86,,,,,,,,-88,,,,-83,-72,,,,,,,,,,,,,,,,-73
,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,,,,-86,,,,,,,,-89,,,,-83,-72,,,,,,,,,,,,,,,,-73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,-89,,,,-82,-72,,,,,,,,,,,,,,,,-73
,,,,,,,,,,,,,,-81,,,,,,,,,,-90,,,,,,,,,-85,,,,,,,,-88,,,,-82,-72,,,,,,,,,,,,,,,,-73
